Train Loss,Validation Loss (Train-set),Validation Loss (Sample-set),n_samples
0.003097676089964807,0.0005004740669392049,0.0005004740669392049,120
0.0014055670471861959,0.0005473237833939493,0.0019021694315597415,70
0.0037008525687269866,0.0011940200347453356,0.0008099651895463467,70
0.0010705667664296925,0.0003537408192642033,0.0028885244391858578,70
0.00627342751249671,0.0025893424171954393,0.0023037323262542486,73
0.009958606213331223,0.0035695817787200212,0.006895224563777447,73
0.009114069165661931,0.002973832655698061,0.002699783770367503,73
0.00972711225040257,0.0024070623330771923,0.00943470187485218,73
0.011313184746541083,0.0030558547005057335,0.002086728811264038,96
0.005089915241114795,0.0008916957303881645,0.001430516829714179,120
0.013919203833211213,0.0010761579032987356,0.0010211302433162928,154
0.006261145230382681,0.0016353828832507133,0.0012679464416578412,154
0.004869760377914645,0.0014475088100880384,0.0007949971477501094,154
0.011819482693681493,0.0022914514411240816,0.0030432548373937607,224
0.011888687964528799,0.0021582625340670347,0.0005782691878266633,224
0.01747207104926929,0.0022234399802982807,0.002351130126044154,253
0.012197707343148068,0.001723942463286221,0.001243799226358533,253
0.014455944357905537,0.002166962483897805,0.0016120446380227804,253
0.015370263310614973,0.0023328799288719893,0.0024888510815799236,253
0.015748944133520126,0.00179467408452183,0.0024980551097542048,255
0.015038894955068827,0.0017081425758078694,0.0033642733469605446,255
0.00486750119489443,0.0006283658440224826,0.00041670631617307663,255
0.012784636317519471,0.0010101309744641185,0.002223631367087364,257
0.005839610237671877,0.00018227455439046025,0.0011798868654295802,257
0.006787898797483649,0.0003127103846054524,0.003054798347875476,257
0.12963873613625765,0.01035872008651495,0.012360090389847755,322
Train Loss,Validation Loss (Train-set),Validation Loss (Sample-set),n_samples
0.002523878763895482,0.000559793203137815,0.000559793203137815,120
0.0001959240198630141,2.3015294914330298e-07,0.0012441666331142187,70
0.002514247701583372,0.00014865938283037394,0.15215465426445007,102
0.011754695238778368,0.0013663327554240823,0.0016103964298963547,215
0.017409688560292125,0.001461425214074552,0.004643497988581657,215
0.01616446574917063,0.001473514479584992,0.003139254404231906,215
0.03094697365304455,0.0033559154253453016,0.004472372122108936,215
0.014610949496272951,0.002181815216317773,0.00393954012542963,215
0.019548513693735003,0.0032258492428809404,0.005703543778508902,215
0.020774927601451054,0.0021106707863509655,0.003553651971742511,215
0.01480214306502603,0.0022385127376765013,0.004575987346470356,215
0.022852519003208727,0.002891521668061614,0.004568885546177626,225
0.020164314773865044,0.0027870393823832273,0.0024740626104176044,225
0.020007107697892934,0.002822516718879342,0.0034526349045336246,225
0.021002992143621668,0.002920696046203375,0.0036566988565027714,225
0.018239518045447767,0.0025817505083978176,0.006788091268390417,240
0.026860101439524442,0.0036916125100106,0.010366344824433327,240
0.027360841282643378,0.003794900607317686,0.009453104808926582,240
0.02610685891704634,0.002654440701007843,0.007601687218993902,248
0.028735353786032647,0.0028781555593013763,0.006834359373897314,248
0.030004679574631155,0.0037516518495976925,0.0066886721178889275,249
0.028695807268377393,0.003685721894726157,0.007502793334424496,249
0.030093396548181772,0.0035984348505735397,0.007825108245015144,249
0.031336404383182526,0.003725800197571516,0.00863756611943245,251
0.027493279485497624,0.0030549191869795322,0.010282214730978012,251
0.029674098448595032,0.002817070111632347,0.010671276599168777,251
0.03005280322395265,0.002541549736633897,0.007861817255616188,253
0.028756289510056376,0.0024081184528768063,0.0075269946828484535,253
0.028712796280160546,0.002327499445527792,0.011405665427446365,253
0.026737532927654684,0.00196793838404119,0.009801289066672325,253
0.028837534075137228,0.0022463970817625523,0.012863948941230774,253
0.02994008778478019,0.0022116350010037422,0.014139750972390175,253
0.03034950778237544,0.0022361758165061474,0.01557574700564146,253
0.0303640496567823,0.0022370929364115,0.015286710113286972,253
0.030373102927114815,0.002237727865576744,0.01769353449344635,253
0.03105763447820209,0.002244723029434681,0.017625773325562477,253
